Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
152,"[0, 1, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 1]",,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[-1.37132, 0.69592, 2.94676, -1.04003, 2.02692, 0.47808, 1.63493, -0.74342, -0.55407, -0.04147, 0.48512, -1.85257, 0.08561, -1.0454, 1.53063, -1.11375]","[1.05503, -0.93219, 1.0628, 1.06511, -1.0472, -1.03679, -1.0407, -1.04206]"
153,"[0, 1, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0]",,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[0.99786, -0.55347, -0.44168, 1.36661, -1.5964, 1.5043, -0.99231, 1.83646, -0.59389, -0.51515, 0.16253, 0.32365, -1.33397, 0.43952, -2.11614, -0.16924]","[1.04633, -1.02116, -1.05663, 1.07724, 1.06953, 1.06621, -1.0359, 1.06693]"
154,"[0, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 1]",,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[1.91369, -0.09204, 2.04043, 0.47412, 1.63931, 1.70347, 0.82236, -1.20667, 1.61889, -0.68083, 1.37073, 0.50951, 0.40529, -0.29732, 2.83036, -0.19182]","[1.05669, 1.05915, -1.05109, -1.04524, -1.04638, -1.03838, -1.05354, -1.05129]"
155,"[0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 1, 0, 1]",,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[-1.1381, -0.96529, -1.2746, 0.60668, -1.47433, 0.14107, -0.63895, -0.79865, -1.23554, -0.84053, -1.34669, 1.4649, -0.87591, 1.15153, -1.6187, -1.40371]","[1.05389, 1.0523, -1.0536, -1.05413, -1.05333, -1.05351, 1.05308, -1.05297]"
156,"[0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 1, 1, 0, 0]",,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[1.35331, 1.15653, 0.75909, -0.63577, 0.30692, -0.06328, 1.99146, 1.81146, 2.48366, 0.21615, -0.00295, -1.81908, 0.60607, -1.39168, 0.74675, 0.97328]","[1.04932, 1.04883, -1.04812, -1.04679, -1.05215, -1.05043, 1.04837, 1.04842]"
157,"[0, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 1]",,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1]","[-1.00618, 0.34428, 0.57596, 0.24486, -0.79198, -1.43321, 0.69028, -1.54706, -1.5954, 1.61916, 0.71316, 0.89179, 0.35282, -0.89613, 0.95037, -1.41269]","[1.05332, 1.06093, -1.05186, -1.04256, -1.00839, 1.06008, -1.04967, -1.0446]"
158,"[0, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[-1.24285, -2.64141, -0.18119, 0.06266, 0.41983, 1.63181, 0.28958, 1.09401, -1.36718, 0.52462, 0.84229, 0.06901, -2.31271, 1.28923, 0.84297, 0.58659]","[1.0529, 1.07374, 1.06746, 1.05331, -1.06371, 1.05265, 1.05333, 1.05296]"
159,"[0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 0]",,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]","[0.79884, 1.40011, 0.17426, -1.94397, 2.15654, -0.11672, -1.34618, 1.90065, 1.88186, 2.06494, -1.2794, -0.52228, 1.64227, -0.79078, -0.78852, 1.66439]","[1.05254, 1.05283, -1.05646, -1.0525, 1.05034, -1.05054, -1.05232, 1.05166]"
160,"[0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 0]",,"[1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0]","[-1.5779, 0.49416, 1.72115, -0.34303, -0.54338, -2.21517, 1.45192, 1.33948, -0.36154, -0.05434, 2.51504, -0.8125, -1.3914, -1.34723, 0.3352, 1.31401]","[1.04877, 1.01124, -1.04703, -1.04199, 1.05007, -1.04951, 1.04775, 1.04761]"
161,"[0, 0, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 1]",,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[-0.62172, 1.09449, 0.52513, 1.56516, 1.4772, -0.41698, 0.81664, -1.5419, 1.20836, 0.61379, 1.44388, 1.34954, 1.20696, -0.74212, 0.38403, -1.33234]","[1.05042, 1.05418, -1.05579, -1.04989, 1.04983, 1.05275, -1.05267, -1.05222]"
162,"[0, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 0, 1]",,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0]","[-0.77917, -1.76741, -0.12082, -0.88912, -0.57468, 1.06284, -1.42993, -0.82711, -0.79444, 0.36726, -1.22783, -1.74709, -0.7094, 0.64447, -2.44806, 1.51344]","[1.05641, 0.85821, 0.96473, 1.01552, -1.00984, -1.03202, 1.02878, -0.99683]"
163,"[0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0]",,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[1.5853, -1.01385, 1.21235, -0.80316, 1.76479, 0.40624, 0.89886, 0.48239, 0.43772, -1.38674, 0.81594, -1.22914, 0.92941, 1.08426, 0.98648, 0.88706]","[1.05247, 1.05268, -1.05202, -1.04969, 1.05402, 1.05212, 1.05307, 1.05261]"
164,"[0, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 1]",,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","[-0.84248, 0.0509, -1.61472, -0.21841, 2.37722, 1.25763, 0.41483, 0.32924, -1.39318, 0.05185, -1.28896, -0.31033, 1.37311, 1.47492, 1.90005, -1.22151]","[1.04928, 1.04554, -1.05805, 1.05984, -1.06379, -1.07204, -1.06622, -1.06983]"
165,"[0, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 0]",,"[1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[-0.04711, -1.37351, 0.32252, 0.09022, -0.60843, -0.95162, -0.90009, 0.70796, 1.42216, -1.76842, 1.47165, 0.93996, -1.79407, -0.25376, -0.31344, 0.69743]","[1.05241, 1.05202, -1.0503, 1.05161, -1.04139, -1.05103, -1.05212, 1.05163]"
166,"[0, 0, 1, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 1, 1, 0, 0]",,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]","[-1.04155, -0.4309, -1.39239, 0.11487, 0.64417, -0.34654, 2.24296, 2.0559, -2.02062, -2.6218, -0.93829, 1.47494, 0.05154, -0.74687, 0.7725, 1.28662]","[1.05044, 1.0481, -1.04902, 1.04805, -1.05011, -1.05132, 1.0492, 1.04939]"
167,"[0, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 0, 1, 0, 1, 1]",,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[1.69685, -0.08688, 0.16248, 0.33744, -0.6387, -1.22633, 2.401, -1.91489, 0.42092, -0.81314, -0.99928, -0.29382, -0.13148, -1.96448, -0.42313, -0.53313]","[1.04293, 0.84428, -1.04514, 0.95927, -1.04685, 1.05348, -1.04578, -1.04617]"
168,"[0, 0, 1, 0, 1, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 0]",,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[-0.43716, 0.28564, 2.65668, 2.04011, 0.55133, 0.51103, -1.08751, 1.33184, -0.47132, 0.64164, 0.61646, 2.26066, 0.677, 1.53345, -1.89128, 1.31284]","[1.05078, 1.04907, -1.05292, 1.05079, -1.05004, 1.05227, -1.0528, 1.05199]"
169,"[0, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 1]",,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[-0.61048, -0.11006, 2.0443, -0.91639, 0.36987, -1.15809, -2.07986, -0.93644, 0.37319, -1.06994, 1.14729, -0.74695, 0.63023, -0.74012, -2.26732, -0.40809]","[1.05143, 1.04851, -1.04843, 1.04954, -1.05223, 1.05039, 1.05068, -1.04552]"
170,"[0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0]",,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]","[-1.18482, 1.5802, -1.33847, 1.66876, -2.00266, 1.26284, 0.69475, 1.18388, 0.04954, 1.07385, -0.21042, 1.17281, -0.74357, 2.07557, -0.10021, 0.03456]","[1.04757, 1.05188, -1.03768, 1.04907, -1.00868, 1.04531, 1.04965, 1.04663]"
171,"[0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 1, 1]",,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1]","[0.17884, 1.20809, -0.80878, -1.39441, -1.00844, 0.44734, 0.83658, -0.04436, 1.9898, 1.3413, -1.48014, -0.8189, -0.96782, 0.29056, 1.89754, -0.54447]","[1.05153, 1.05173, -1.04987, 1.05144, 1.0532, -1.05227, -1.05063, -1.05128]"
172,"[0, 0, 1, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 1, 1, 0, 1]",,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]","[-0.63805, 1.40785, 0.52318, 0.31605, -0.05008, 1.93106, -0.05854, -0.46171, -1.11781, 0.75495, 0.96033, -1.65668, 1.68195, 0.86707, 0.0697, -0.32186]","[1.01834, -1.01778, -1.04023, 0.89634, -0.76895, -1.05772, 1.04701, -1.0362]"
173,"[0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]",,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[-0.01217, -1.01694, -1.33744, 1.92987, -2.69211, 0.16033, 0.70272, 1.24706, 1.19206, -1.60739, 0.33756, 0.79216, 0.80245, -0.02575, 0.28188, 0.79134]","[1.0375, 1.04995, 1.06523, 1.04981, -1.04347, -1.03864, 1.04738, 1.04628]"
174,"[0, 0, 1, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 1, 1]",,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[-1.28553, -1.37684, -1.2967, -0.59224, 1.23046, 0.14508, 2.0312, -1.73071, -1.52122, -0.92025, -0.46097, -1.1535, 1.44239, -0.87631, 1.09844, -2.33097]","[1.05149, 1.07052, -1.0378, 1.03441, 1.03622, 1.07722, -1.03111, -1.03376]"
175,"[0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 0]",,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]","[2.1195, 0.37291, 1.364, 0.63301, -1.5521, 2.27114, -0.89714, -0.04239, 0.70476, 0.60007, 1.21596, 1.2018, -1.49091, 0.11069, -0.48668, 0.35964]","[1.05719, 1.07258, -1.06546, 1.08702, 1.05225, 1.07701, -1.06678, 1.07789]"
176,"[0, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[0.90279, -0.77697, -0.30402, -0.72736, -0.47127, -1.42341, -1.41548, -0.05035, 0.61781, -1.20223, 0.68269, 0.37269, -0.91372, -1.41971, -1.62255, -1.06311]","[1.05089, 1.05472, 1.03444, 1.06843, 1.04675, 1.0493, 1.05108, -1.03076]"
177,"[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0.23628, -0.2477, -1.79505, 0.80904, 1.21372, 1.27261, 0.40097, 1.55284, -0.83801, 2.46747, -1.44202, 0.40932, 0.67847, 1.63954, 1.62209, 1.72643]","[1.05254, 1.06216, -1.05207, 1.05172, 1.05341, 1.05146, 1.05263, 1.05215]"
178,"[0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1]",,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]","[-1.22538, -0.13045, -0.68114, 1.48354, 1.64014, 0.12083, 0.94157, -0.33651, -2.34991, -1.33276, -0.35667, 0.63476, 2.20066, -0.07406, 0.85692, -1.11743]","[1.0544, 1.05585, 1.0618, -1.04742, -1.04636, -1.04539, -1.05392, -1.05013]"
179,"[0, 0, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 1, 1, 0]",,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[1.50563, 0.57373, 0.19809, -0.98846, -0.91621, -0.68807, 0.50055, 2.40707, 0.66309, 0.84393, 0.80191, -1.32655, -0.53151, -0.74613, -2.18444, 1.09753]","[1.04036, 1.04918, 1.02596, -1.03796, -1.05335, -1.04608, -1.05668, 1.02962]"
180,"[0, 0, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 1, 1, 0, 1]",,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[0.58067, -1.62067, 1.12076, 1.13627, -0.16853, 2.12766, -0.67692, 0.0262, 1.48374, -1.62679, 0.48145, 1.50667, -1.26302, 0.94179, -0.88313, -1.00262]","[1.05027, 1.05091, 1.04321, -1.03959, -1.04929, -1.04518, 1.0513, -1.04344]"
181,"[0, 0, 0, 1, 1, 1, 0, 0]","[0, 1, 0, 1, 1, 1, 0, 0]",,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[0.08958, -0.33759, -0.26165, -1.65414, 0.84671, -0.5535, 1.61508, 0.04803, 0.22449, 0.12476, -1.15233, -1.24492, 2.04291, -1.28257, 1.08334, 0.31471]","[1.04971, -1.03386, 1.04921, -1.04413, -1.0513, -1.04849, 1.04841, 1.04889]"
182,"[0, 0, 0, 1, 1, 0, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 1]",,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0.89921, 0.95336, 0.50223, 1.06542, -0.13163, -0.78857, 1.53319, -1.15256, 1.6911, 0.88111, -0.93816, -0.41656, -0.49828, -1.45099, 1.9733, -1.60085]","[1.05092, 1.03313, -1.04162, -0.94083, -1.04488, 1.05865, -1.04911, -1.04633]"
183,"[0, 0, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 0]",,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0]","[-0.46133, -0.89112, 1.955, -0.31304, 1.05368, 0.63609, -2.27896, 1.29685, -1.03194, -0.57469, 1.12371, -1.43549, 0.50455, 1.99983, -0.06493, 0.60904]","[1.05076, 1.04975, 1.05036, -1.05277, -1.04979, 1.05225, -1.05296, 1.05212]"
184,"[0, 0, 0, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1]",,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[-0.72644, 1.55598, 1.65829, 0.72111, 1.75032, -0.27339, -1.89421, -1.50918, -2.4382, 0.27284, 0.08577, 0.84186, -0.05741, -0.35638, -0.32455, -0.91328]","[1.05085, 1.04602, 1.04623, -1.04958, -1.05482, 1.04894, 1.04943, -1.04939]"
185,"[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[0.46714, -0.98395, -2.3594, -1.82581, -1.11697, 1.43297, 1.42765, 0.35798, -0.33626, -1.19482, -0.39226, -0.5566, -1.99609, 0.59079, 0.31263, 0.0058]","[1.05145, 1.04891, 1.0466, -1.03533, -1.03828, 1.04924, 1.04814, 1.04901]"
186,"[0, 0, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 1, 1, 1]",,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[1.29132, -0.78852, -1.2044, 0.43158, -1.90965, 0.65843, 2.10563, -0.55179, 1.89427, -0.57598, -1.05863, 1.37231, -1.3996, 0.49487, 1.84993, -0.22977]","[1.0514, 1.05203, 1.04974, -1.05273, 1.0537, -1.05209, -1.0507, -1.05115]"
187,"[0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 0, 1]",,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]","[0.24863, 1.02154, 0.95758, -1.34101, 0.08035, -0.98353, -0.72207, -0.36618, -1.62609, 1.68614, 2.11969, 0.69028, 0.71756, -2.01285, -0.88584, -0.03655]","[1.05272, 1.04988, 1.04728, -1.0222, -1.05284, 1.05178, 1.05155, -1.0518]"
188,"[0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1]",,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[-0.50319, -2.13457, 0.49045, 1.20042, 0.95162, 2.02346, 0.3287, -1.13812, -0.97891, -1.41897, 1.09646, 2.12115, 0.94774, 0.81995, -1.49563, -1.13207]","[1.05208, 1.04638, 1.04777, -1.05069, 1.04268, -1.05456, 1.06427, -1.0499]"
189,"[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]",,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[1.01215, -0.06494, -1.25857, 0.54869, -1.77353, -1.26328, 0.45264, 1.10962, 0.89963, 0.57867, 0.85917, -1.79933, -2.01146, -0.53568, 0.90127, 0.9496]","[1.04986, 1.04648, -1.04189, 0.9872, 1.0503, -1.04197, 1.04866, 1.04911]"
190,"[0, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 1]",,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]","[-1.38254, 1.45492, -0.37531, 1.4923, 0.7727, -1.77965, 1.0754, -1.89025, -1.92588, 1.80952, -0.79052, 0.64757, 0.4332, -0.88215, 0.64014, -0.48884]","[1.04998, 1.05278, 1.05286, -1.0497, 1.05207, 1.05131, -1.05115, -1.05111]"
191,"[0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0]",,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[1.1281, -2.63437, 2.18199, -1.82507, -1.07436, 0.11423, -0.42768, 2.54084, 0.95935, -1.0149, 1.22158, 0.02795, -1.60033, 0.45555, -0.60055, 1.00756]","[1.05214, 1.01128, 1.03307, -1.03447, 1.056, 1.05126, -1.04949, 1.05026]"
192,"[0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[0.03644, 0.73677, 0.1746, 0.72093, -1.69424, -1.0652, -1.94664, -1.85779, 2.0351, 1.1251, 2.64579, 0.34975, 0.12007, -0.59859, -0.98195, -1.77022]","[1.05017, 1.04098, 1.04631, -1.05477, 1.02629, 1.04804, 1.04969, -1.05198]"
193,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[-1.11537, -0.36251, -1.28421, -1.66754, 1.31895, 1.23255, 1.37328, 0.85517, -0.42864, -0.9947, -1.29585, -0.94366, 1.68085, 1.07826, 0.76351, 1.50789]","[1.05358, 1.05345, 1.0541, -1.04933, 1.05411, 1.05287, 1.05344, 1.05323]"
194,"[0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1]",,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]","[1.02688, 0.04324, 2.26766, -0.08526, 0.85128, 2.00208, 2.09862, -1.86403, 0.42459, 0.48424, 1.7259, -0.66291, -1.12785, 0.30269, 1.38421, -1.19379]","[1.05109, 1.05022, 1.04742, 1.04969, -1.03647, -1.05386, -1.05144, -1.0536]"
195,"[0, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 1, 1, 0, 1]",,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[-2.29215, 1.81067, -0.72479, 0.43621, -0.35404, 0.69196, -0.28028, -0.89672, -1.80467, 3.37059, -1.32224, -0.64777, -1.76429, 0.75945, -0.04489, -1.60024]","[1.0542, 1.0493, 1.05223, 1.022, -1.0473, -1.05257, 1.0533, -1.05221]"
196,"[0, 0, 0, 0, 1, 0, 1, 1]","[0, 1, 1, 1, 1, 0, 1, 1]",,"[1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]","[-1.47437, -0.74763, 1.84183, 0.41987, -2.13342, -2.05433, 1.43957, -1.11846, 0.25551, -0.13105, 0.94515, -1.36402, -1.23067, -0.54171, 0.84003, -0.84844]","[1.05252, -1.03126, -1.02469, -0.98248, -1.00222, 1.05897, -1.04952, -1.04683]"
197,"[0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 0]",,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[1.10688, 0.35274, -1.33362, 1.31043, 0.67946, 0.53675, -2.05021, 1.10664, 0.21329, 1.27171, -0.92791, 0.95946, 1.33375, 1.23601, -1.03968, 0.68788]","[1.05066, 1.04928, 1.05035, 1.05044, -1.04946, 1.05213, -1.0531, 1.05187]"
198,"[0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 1]",,"[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[2.87834, -0.29007, -1.04161, -0.16889, 0.42709, -1.86491, -0.96364, -1.97536, 0.20557, -0.88934, -1.43422, -1.66262, 1.01526, -0.42887, -1.00683, -1.89996]","[1.05341, 1.05136, 1.05148, 1.05125, -1.0559, 1.05186, 1.05219, -1.0524]"
199,"[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[-0.36764, 1.45242, 1.89968, 1.26356, -0.64014, 0.28312, 1.10518, 2.61573, -0.18407, 0.74466, 1.38025, 1.76801, -0.41504, 1.63252, 1.19832, 0.72339]","[1.05227, 1.05151, 1.05113, 1.05153, -1.05123, 1.05144, 1.05241, 1.0521]"
200,"[0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 1, 1]",,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]","[-1.38383, 0.59553, 1.3861, -0.79525, -0.22828, 0.13851, 1.13027, -0.8367, -1.78236, 0.83416, 0.71755, -2.64572, -0.48892, 0.72164, 0.35799, -1.4477]","[1.05143, 1.052, 1.04994, 1.05141, 1.05472, -1.05183, -1.0504, -1.05094]"
201,"[0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",,"[0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]","[0.65951, 0.43642, -1.39177, -0.86825, 2.07011, 0.69162, -0.50806, -0.58187, -0.27851, 0.66601, -1.51295, -2.65297, 1.17756, 1.06064, -0.70393, -1.30151]","[1.05451, 1.05276, 1.05016, 1.04964, 1.051, -1.0505, 1.05337, -1.04542]"
202,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]","[-0.49776, 1.1863, 1.65697, 0.89942, -0.5958, -0.65857, 1.32487, 1.0123, -0.14605, -1.07718, 0.93938, 1.18911, -0.65372, -0.58105, 1.20154, 0.59312]","[1.05022, 1.05441, 1.04572, 1.0488, 1.04729, -1.05125, 1.04929, 1.04943]"
203,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0]",,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[0.31634, 2.18274, -0.42538, 1.23045, -1.27252, 0.54143, -1.04289, 0.53622, -1.12515, 0.57783, -1.58704, 1.321, -0.30477, 1.31473, -0.91966, -0.15792]","[1.04398, 1.05989, 1.06057, 1.07532, 1.03116, 1.06419, -1.03579, 1.06041]"
204,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1.39552, -2.58095, 0.72642, -0.61389, -0.85709, 0.29911, -0.6348, -0.76942, -1.64293, -1.17266, -2.4483, -0.85486, -1.20006, -1.84056, -1.13897, -0.04972]","[1.04974, 1.05538, 1.01859, 1.04766, 1.05153, 1.05094, 1.02131, -1.04466]"
